Age_Group,Gender,City_Tier,State,Occupation,Monthly_Income,Handcrafted_Frequency,Purchase_Channel,Primary_Factor,Design_Preference,Preferred_Products,Bag_Type,Decor_Preference,Embroidery_Level,Mirror_Work,Color_Family,Purchase_Occasion,Budget_Handbag,Budget_Apparel,Budget_HomeDecor,Discount_Influence,Preferred_Offer,Online_Trust_Buy,Trust_Factor,Authenticity_Score,Limited_Edition_Preference,Purchase_Interest
21-30,Male,Tier 2,Telangana,Business Owner,25000-50000,Frequently,Local exhibitions,Utility,Fusion,"Laptop sleeves / utility pouches, Jackets / shrugs",Sling bag,Decorative organizers,Moderate embroidery,Light mirror work,Earth tones,Daily use,Below 500,1000-2000,Above 3000,Sometimes,Free shipping,Depends on reviews,Brand story,5,No,Highly likely
21-30,Female,Tier 3 / Rural,Delhi,Freelancer,100000-200000,Occasionally,Local exhibitions,Design,Depends on product,Gift sets,Tote bag,Cushion covers,Moderate embroidery,Light mirror work,Earth tones,Daily use,Below 500,Above 4000,Below 500,Sometimes,Flat discount,No,Product images,2,No,Very unlikely
Above 50,Male,Metro,Maharashtra,Business Owner,100000-200000,Frequently,During travel,Design,Traditional,Laptop sleeves / utility pouches,Office handbag,Wall décor textile,Heavy embroidery,Light mirror work,Pastel shades,Daily use,Above 2000,2000-4000,Below 500,Sometimes,Buy 2 Get 1,No,Reviews,4,Yes,Highly likely
31-40,Female,Tier 1,Delhi,Other,100000-200000,Rarely,Local exhibitions,Brand,Depends on product,"Jackets / shrugs, Gift sets, Laptop sleeves / utility pouches",Tote bag,Table runners,Minimal embroidery,No mirror work,Black / neutral,Weddings,1000-2000,Above 4000,Below 500,No,Buy 2 Get 1,Depends on reviews,Product images,3,No,Likely
41-50,Male,Tier 2,Tamil Nadu,Freelancer,Below 25000,Frequently,Instagram stores,Brand,Traditional,"Jackets / shrugs, Handbags, Laptop sleeves / utility pouches",Tote bag,Cushion covers,Minimal embroidery,Strong mirror work,Pastel shades,Gifting,1000-2000,1000-2000,Below 500,No,Buy 2 Get 1,Yes,Brand story,3,No,Highly likely
31-40,Female,Metro,Rajasthan,Salaried Employee,25000-50000,Occasionally,Instagram stores,Price,Fusion,"Gift sets, Handbags",Sling bag,Cushion covers,Minimal embroidery,No mirror work,Pastel shades,Weddings,500-1000,Above 4000,Below 500,No,Buy 2 Get 1,Depends on reviews,Return policy,1,Yes,Unsure
Above 50,Female,Metro,Delhi,Salaried Employee,25000-50000,Never,During travel,Price,Traditional,"Laptop sleeves / utility pouches, Jackets / shrugs, Cushion covers",Clutch,Wall décor textile,Minimal embroidery,Light mirror work,Earth tones,Office use,1000-2000,1000-2000,1500-3000,Sometimes,Buy 2 Get 1,Depends on reviews,Reviews,2,No,Unsure
31-40,Male,Metro,Gujarat,Freelancer,Below 25000,Frequently,Retail stores,Utility,Depends on product,Jackets / shrugs,Office handbag,Decorative organizers,Heavy embroidery,Strong mirror work,Bright colors,Weddings,1000-2000,Above 4000,Above 3000,No,Free shipping,Depends on reviews,Product images,2,No,Unlikely
31-40,Male,Metro,Rajasthan,Business Owner,100000-200000,Frequently,Retail stores,Utility,Depends on product,"Cushion covers, Jackets / shrugs",Tote bag,Wall décor textile,Moderate embroidery,Light mirror work,Pastel shades,Festive use,500-1000,2000-4000,1500-3000,Sometimes,Buy 2 Get 1,Depends on reviews,Return policy,4,No,Highly likely
Above 50,Male,Tier 1,West Bengal,Business Owner,50000-100000,Never,During travel,Brand,Fusion,Gift sets,Clutch,Decorative organizers,Moderate embroidery,Strong mirror work,Pastel shades,Daily use,500-1000,Below 1000,Above 3000,No,Festival combo pack,Yes,Reviews,2,Yes,Very unlikely
41-50,Female,Metro,Telangana,Homemaker,Above 200000,Frequently,Online marketplaces,Brand,Traditional,"Gift sets, Laptop sleeves / utility pouches, Cushion covers",Sling bag,Table runners,Heavy embroidery,Strong mirror work,Pastel shades,Gifting,1000-2000,Below 1000,500-1500,No,Free shipping,No,Product images,1,No,Very unlikely
21-30,Male,Tier 1,Rajasthan,Student,25000-50000,Never,Retail stores,Authenticity,Fusion,"Jackets / shrugs, Laptop sleeves / utility pouches, Cushion covers",Clutch,Table runners,Heavy embroidery,Strong mirror work,Bright colors,Weddings,1000-2000,Below 1000,Above 3000,Sometimes,Free shipping,No,Return policy,3,Yes,Unlikely
Above 50,Female,Tier 2,Maharashtra,Other,50000-100000,Frequently,Retail stores,Brand,Minimal modern,"Handbags, Gift sets",Clutch,Decorative organizers,Heavy embroidery,No mirror work,Earth tones,Festive use,500-1000,Above 4000,Above 3000,No,Festival combo pack,No,Reviews,2,Yes,Unsure
41-50,Male,Tier 3 / Rural,West Bengal,Salaried Employee,Above 200000,Never,Retail stores,Authenticity,Traditional,"Cushion covers, Jackets / shrugs",Clutch,Wall décor textile,Heavy embroidery,Strong mirror work,Earth tones,Weddings,Above 2000,2000-4000,1500-3000,No,Free shipping,Yes,Brand story,1,Yes,Very unlikely
21-30,Female,Tier 3 / Rural,Rajasthan,Student,25000-50000,Frequently,Online marketplaces,Brand,Minimal modern,"Cushion covers, Handbags, Laptop sleeves / utility pouches",Tote bag,Table runners,Minimal embroidery,Light mirror work,Pastel shades,Festive use,1000-2000,Below 1000,Below 500,No,Buy 2 Get 1,Depends on reviews,Product images,1,No,Likely
Below 20,Male,Metro,Telangana,Freelancer,100000-200000,Frequently,During travel,Brand,Depends on product,Laptop sleeves / utility pouches,Clutch,Decorative organizers,Heavy embroidery,Strong mirror work,Earth tones,Weddings,Above 2000,1000-2000,1500-3000,No,Buy 2 Get 1,No,Reviews,1,Yes,Unsure
41-50,Male,Metro,Telangana,Other,100000-200000,Never,Instagram stores,Design,Minimal modern,Jackets / shrugs,Tote bag,Decorative organizers,Minimal embroidery,Strong mirror work,Black / neutral,Daily use,Above 2000,Above 4000,1500-3000,Strongly yes,Festival combo pack,No,Product images,1,Yes,Likely
21-30,Male,Tier 1,Maharashtra,Other,50000-100000,Rarely,Online marketplaces,Authenticity,Depends on product,Gift sets,Clutch,Decorative organizers,Minimal embroidery,Light mirror work,Black / neutral,Weddings,Below 500,Above 4000,1500-3000,Sometimes,Buy 2 Get 1,Yes,Product images,3,Yes,Unsure
31-40,Female,Tier 2,Telangana,Freelancer,100000-200000,Never,During travel,Design,Depends on product,"Handbags, Cushion covers",Clutch,Table runners,Moderate embroidery,Light mirror work,Black / neutral,Office use,500-1000,Above 4000,1500-3000,Strongly yes,Flat discount,Yes,Return policy,2,No,Highly likely
41-50,Female,Metro,Karnataka,Freelancer,Above 200000,Rarely,Online marketplaces,Price,Fusion,Gift sets,Sling bag,Table runners,Heavy embroidery,No mirror work,Earth tones,Daily use,Above 2000,1000-2000,Above 3000,Sometimes,Festival combo pack,Yes,Reviews,3,No,Unlikely
Above 50,Female,Tier 1,Maharashtra,Other,100000-200000,Rarely,Retail stores,Price,Minimal modern,"Gift sets, Jackets / shrugs, Cushion covers",Tote bag,Table runners,Heavy embroidery,Strong mirror work,Pastel shades,Gifting,1000-2000,Below 1000,500-1500,Sometimes,Free shipping,Depends on reviews,Product images,2,Yes,Likely
Below 20,Female,Metro,Delhi,Homemaker,100000-200000,Frequently,During travel,Authenticity,Minimal modern,"Gift sets, Laptop sleeves / utility pouches",Sling bag,Decorative organizers,Minimal embroidery,Light mirror work,Black / neutral,Weddings,Above 2000,2000-4000,1500-3000,Strongly yes,Free shipping,Depends on reviews,Reviews,4,No,Highly likely
21-30,Female,Tier 2,Maharashtra,Student,100000-200000,Never,Online marketplaces,Price,Traditional,"Cushion covers, Gift sets",Sling bag,Decorative organizers,Minimal embroidery,Strong mirror work,Bright colors,Office use,Below 500,1000-2000,500-1500,Strongly yes,Free shipping,No,Product images,4,No,Unlikely
Above 50,Female,Tier 2,Delhi,Freelancer,Above 200000,Rarely,Instagram stores,Utility,Minimal modern,"Handbags, Jackets / shrugs, Cushion covers",Office handbag,Wall décor textile,Moderate embroidery,Strong mirror work,Black / neutral,Weddings,1000-2000,Below 1000,1500-3000,Sometimes,Flat discount,No,Brand story,5,No,Very unlikely
Above 50,Female,Metro,Gujarat,Student,Below 25000,Never,Instagram stores,Utility,Traditional,"Laptop sleeves / utility pouches, Handbags",Tote bag,Table runners,Moderate embroidery,No mirror work,Earth tones,Daily use,Above 2000,2000-4000,Below 500,No,Flat discount,No,Brand story,4,No,Very unlikely
31-40,Male,Metro,Gujarat,Other,25000-50000,Rarely,Retail stores,Brand,Traditional,Laptop sleeves / utility pouches,Clutch,Table runners,Heavy embroidery,Strong mirror work,Pastel shades,Weddings,1000-2000,2000-4000,500-1500,Sometimes,Buy 2 Get 1,Yes,Brand story,2,No,Unsure
31-40,Male,Tier 2,Telangana,Freelancer,Above 200000,Rarely,During travel,Price,Minimal modern,Jackets / shrugs,Office handbag,Table runners,Heavy embroidery,Light mirror work,Pastel shades,Daily use,Below 500,Above 4000,500-1500,Strongly yes,Festival combo pack,Depends on reviews,Brand story,3,No,Unlikely
21-30,Female,Tier 1,Maharashtra,Freelancer,Below 25000,Frequently,Instagram stores,Utility,Depends on product,Handbags,Tote bag,Wall décor textile,Moderate embroidery,Strong mirror work,Earth tones,Gifting,Below 500,Above 4000,Below 500,Strongly yes,Free shipping,Yes,Reviews,1,No,Likely
31-40,Female,Tier 3 / Rural,Gujarat,Other,25000-50000,Frequently,During travel,Price,Traditional,Handbags,Tote bag,Table runners,Minimal embroidery,No mirror work,Pastel shades,Weddings,Below 500,Below 1000,1500-3000,No,Free shipping,No,Product images,4,No,Unsure
41-50,Female,Tier 3 / Rural,West Bengal,Freelancer,Above 200000,Occasionally,Instagram stores,Brand,Fusion,"Gift sets, Handbags, Jackets / shrugs",Clutch,Table runners,Moderate embroidery,Light mirror work,Earth tones,Office use,Above 2000,Above 4000,Below 500,Sometimes,Free shipping,Depends on reviews,Product images,4,No,Likely
41-50,Male,Tier 2,Rajasthan,Business Owner,Below 25000,Occasionally,During travel,Brand,Depends on product,"Jackets / shrugs, Gift sets, Laptop sleeves / utility pouches",Office handbag,Decorative organizers,Minimal embroidery,Light mirror work,Pastel shades,Office use,Above 2000,Above 4000,1500-3000,Sometimes,Free shipping,No,Reviews,2,No,Highly likely
21-30,Female,Tier 1,Tamil Nadu,Business Owner,Below 25000,Never,Instagram stores,Authenticity,Depends on product,Gift sets,Office handbag,Wall décor textile,Heavy embroidery,No mirror work,Earth tones,Gifting,Above 2000,Above 4000,500-1500,Sometimes,Festival combo pack,Depends on reviews,Product images,3,Yes,Very unlikely
41-50,Female,Tier 2,Gujarat,Homemaker,25000-50000,Rarely,Online marketplaces,Price,Fusion,"Handbags, Gift sets, Cushion covers",Sling bag,Cushion covers,Heavy embroidery,Light mirror work,Earth tones,Daily use,500-1000,Below 1000,Below 500,Sometimes,Festival combo pack,Depends on reviews,Reviews,3,No,Highly likely
31-40,Female,Tier 1,Rajasthan,Business Owner,Below 25000,Frequently,Local exhibitions,Authenticity,Minimal modern,Jackets / shrugs,Clutch,Decorative organizers,Moderate embroidery,Light mirror work,,Festive use,Above 2000,Above 4000,Below 500,No,Festival combo pack,No,Brand story,5,No,Unlikely
Below 20,Male,Tier 2,Tamil Nadu,Business Owner,25000-50000,Rarely,During travel,Design,Depends on product,Cushion covers,Clutch,Decorative organizers,Minimal embroidery,Light mirror work,Black / neutral,Daily use,1000-2000,Above 4000,1500-3000,Sometimes,Festival combo pack,No,Brand story,5,Yes,Unlikely
Above 50,Female,Tier 3 / Rural,Gujarat,Student,25000-50000,Never,Local exhibitions,Brand,Traditional,"Gift sets, Laptop sleeves / utility pouches",Clutch,Decorative organizers,Moderate embroidery,No mirror work,Bright colors,Festive use,500-1000,Above 4000,Above 3000,Sometimes,Free shipping,Depends on reviews,Product images,4,No,Unsure
Below 20,Female,Tier 1,Karnataka,Freelancer,100000-200000,Frequently,Local exhibitions,Price,Traditional,Laptop sleeves / utility pouches,Sling bag,Table runners,Moderate embroidery,Strong mirror work,Pastel shades,Office use,1000-2000,Below 1000,500-1500,Strongly yes,Flat discount,Depends on reviews,Reviews,5,No,Unlikely
21-30,Female,Tier 3 / Rural,Tamil Nadu,Homemaker,Above 200000,Rarely,Retail stores,Design,Fusion,Jackets / shrugs,Sling bag,Decorative organizers,Minimal embroidery,Strong mirror work,Bright colors,Gifting,1000-2000,Above 4000,500-1500,No,Flat discount,Yes,Brand story,2,Yes,Unsure
21-30,Female,Tier 2,Gujarat,Freelancer,100000-200000,Rarely,Retail stores,Design,Minimal modern,Cushion covers,Clutch,Wall décor textile,Moderate embroidery,Strong mirror work,Black / neutral,Daily use,Below 500,1000-2000,1500-3000,Strongly yes,Festival combo pack,No,Product images,4,No,Likely
41-50,Female,Metro,West Bengal,Business Owner,100000-200000,Frequently,During travel,Price,Fusion,"Handbags, Gift sets",Sling bag,Wall décor textile,Minimal embroidery,Strong mirror work,Black / neutral,Festive use,Below 500,Above 4000,Below 500,No,Festival combo pack,Yes,Reviews,4,No,Unsure
Below 20,Male,Metro,Karnataka,Salaried Employee,Above 200000,Frequently,Online marketplaces,Design,Depends on product,"Gift sets, Jackets / shrugs, Handbags",Sling bag,Wall décor textile,Moderate embroidery,Strong mirror work,Black / neutral,Gifting,Above 2000,1000-2000,500-1500,Sometimes,Free shipping,Yes,Product images,5,Yes,Likely
31-40,Male,Tier 2,Telangana,Homemaker,25000-50000,Frequently,During travel,Price,Minimal modern,"Jackets / shrugs, Laptop sleeves / utility pouches",Office handbag,Table runners,Moderate embroidery,Strong mirror work,Earth tones,Daily use,1000-2000,2000-4000,Below 500,Strongly yes,Festival combo pack,Yes,Product images,5,No,Highly likely
Below 20,Female,Tier 2,Telangana,Homemaker,Above 200000,Frequently,Online marketplaces,Authenticity,Minimal modern,"Gift sets, Jackets / shrugs",Tote bag,Table runners,Minimal embroidery,No mirror work,Bright colors,Gifting,Above 2000,2000-4000,Above 3000,Sometimes,Festival combo pack,No,Product images,1,Yes,Likely
Below 20,Female,Tier 3 / Rural,Delhi,Salaried Employee,100000-200000,Rarely,Retail stores,Price,Fusion,"Cushion covers, Jackets / shrugs",Clutch,Decorative organizers,Moderate embroidery,No mirror work,Black / neutral,Festive use,1000-2000,Above 4000,Below 500,Strongly yes,Flat discount,Yes,Return policy,5,Yes,Highly likely
Above 50,Female,Tier 1,Maharashtra,Homemaker,50000-100000,Frequently,Instagram stores,Authenticity,Traditional,Gift sets,Clutch,Cushion covers,Heavy embroidery,Strong mirror work,Earth tones,Weddings,500-1000,Below 1000,500-1500,Sometimes,Free shipping,Depends on reviews,Return policy,4,No,Unsure
31-40,Female,Metro,Maharashtra,Homemaker,100000-200000,Never,Instagram stores,Price,Minimal modern,Handbags,Sling bag,Cushion covers,Heavy embroidery,Light mirror work,Pastel shades,Festive use,1000-2000,1000-2000,1500-3000,Sometimes,Festival combo pack,Yes,Product images,5,Yes,Likely
Above 50,Female,Tier 1,Telangana,Freelancer,25000-50000,Occasionally,During travel,Authenticity,Fusion,"Cushion covers, Gift sets, Laptop sleeves / utility pouches",Clutch,Decorative organizers,Heavy embroidery,No mirror work,Pastel shades,Weddings,500-1000,Above 4000,Above 3000,Strongly yes,Free shipping,Depends on reviews,Return policy,3,No,Unsure
Above 50,Male,Metro,Karnataka,Homemaker,50000-100000,Occasionally,Online marketplaces,Utility,Depends on product,Jackets / shrugs,Office handbag,Wall décor textile,Heavy embroidery,No mirror work,Earth tones,Gifting,Below 500,2000-4000,1500-3000,Sometimes,Flat discount,Depends on reviews,Reviews,4,Yes,Unsure
31-40,Female,Metro,Delhi,Homemaker,25000-50000,Never,During travel,Brand,Depends on product,"Cushion covers, Jackets / shrugs",Office handbag,Decorative organizers,Minimal embroidery,Strong mirror work,Bright colors,Festive use,500-1000,1000-2000,Below 500,Strongly yes,Free shipping,No,Product images,3,Yes,Likely
31-40,Female,Tier 2,Delhi,Freelancer,50000-100000,Occasionally,Online marketplaces,Design,Fusion,"Cushion covers, Jackets / shrugs, Laptop sleeves / utility pouches",Clutch,Wall décor textile,Heavy embroidery,No mirror work,Bright colors,Festive use,Below 500,Below 1000,Above 3000,Strongly yes,Free shipping,Depends on reviews,Product images,4,Yes,Highly likely
21-30,Male,Metro,Telangana,Business Owner,25000-50000,Never,Online marketplaces,Design,Fusion,"Laptop sleeves / utility pouches, Cushion covers",Tote bag,Table runners,Minimal embroidery,Light mirror work,Earth tones,Gifting,Below 500,Above 4000,Above 3000,Strongly yes,Festival combo pack,Yes,Product images,2,No,Unlikely
41-50,Female,Tier 3 / Rural,Tamil Nadu,Business Owner,25000-50000,Rarely,Retail stores,Price,Fusion,"Gift sets, Jackets / shrugs, Laptop sleeves / utility pouches",Office handbag,Wall décor textile,Minimal embroidery,Strong mirror work,Black / neutral,Daily use,1000-2000,Below 1000,500-1500,Sometimes,Free shipping,No,Brand story,5,No,Unlikely
41-50,Male,Metro,Karnataka,Salaried Employee,100000-200000,Frequently,Retail stores,Utility,Traditional,"Handbags, Cushion covers",Sling bag,Cushion covers,Moderate embroidery,No mirror work,Earth tones,Weddings,Below 500,Above 4000,500-1500,Sometimes,Festival combo pack,No,Return policy,5,Yes,Unlikely
Below 20,Male,Tier 2,Karnataka,Salaried Employee,Above 200000,Occasionally,Retail stores,Authenticity,Fusion,"Cushion covers, Handbags",Sling bag,Wall décor textile,Moderate embroidery,Light mirror work,Black / neutral,Gifting,500-1000,2000-4000,Above 3000,Sometimes,Flat discount,Depends on reviews,Return policy,1,Yes,Highly likely
41-50,Female,Tier 1,West Bengal,Business Owner,25000-50000,Never,Instagram stores,Design,Minimal modern,"Cushion covers, Jackets / shrugs, Gift sets",Office handbag,Wall décor textile,Minimal embroidery,No mirror work,Black / neutral,Daily use,500-1000,1000-2000,500-1500,No,Buy 2 Get 1,No,Brand story,3,No,Likely
Below 20,Male,Tier 1,Karnataka,Other,25000-50000,Never,Retail stores,Authenticity,Traditional,"Cushion covers, Handbags, Laptop sleeves / utility pouches",Tote bag,Table runners,Minimal embroidery,Light mirror work,Black / neutral,Festive use,1000-2000,1000-2000,1500-3000,No,Free shipping,Depends on reviews,Product images,5,Yes,Unlikely
31-40,Male,Metro,Maharashtra,Other,50000-100000,Never,During travel,Utility,Traditional,"Cushion covers, Laptop sleeves / utility pouches, Handbags",Office handbag,Wall décor textile,Heavy embroidery,Strong mirror work,Bright colors,Weddings,500-1000,Above 4000,1500-3000,Sometimes,Flat discount,Yes,Return policy,5,Yes,Highly likely
